English Word,Transcription,Russian Translation,Difficulty,Category,Example Sentence
apple,ˈæpəl,яблоко,1,Food,I eat an apple every morning.
book,bʊk,книга,1,Objects,I am reading a new book.
cat,kæt,кот,1,Animals,The cat is sleeping on the couch.
dog,dɔːɡ,собака,1,Animals,My dog loves to play fetch.
hello,həˈloʊ,привет,1,Common Phrases,She said hello to everyone.
red,rɛd,красный,1,Colors,She wore a red dress.
blue,bluː,синий/голубой,1,Colors,The sky is blue today.
house,haʊs,дом/жилище,2,Objects,They live in a big house.
water,ˈwɔːtər,вода,2,Food,I need some water to drink.
friend,frɛnd,друг/подруга,1,Common Phrases,My friend and I went to the park.
car,kɑːr,машина/автомобиль,1,Objects,I bought a new car.
table,ˈteɪbəl,стол,2,Furniture,Put the book on the table.
chair,ʧɛr,стул,2,Furniture,Please sit on the chair.
tree,triː,дерево,1,Nature,The tree is very tall.
sky,skaɪ,небо,1,Nature,The sky is clear today.
sun,sʌn,солнце,1,Nature,The sun is shining brightly.
moon,muːn,луна,1,Nature,The moon is full tonight.
star,stɑːr,звезда,1,Nature,I saw a star in the sky.
phone,foʊn,телефон,1,Objects,I forgot my phone at home.
computer,kəmˈpjuːtər,компьютер,3,Objects,My computer is very fast.
school,skuːl,школа,1,Places,School starts at 8 o'clock.
teacher,ˈtiːʧər,учитель/преподаватель,2,People,The teacher explained the lesson.
student,ˈstjuːdənt,студент/ученик,2,People,The student is studying hard.
pen,pɛn,ручка,1,Objects,I wrote my name with a pen.
pencil,ˈpɛnsl,карандаш,1,Objects,She drew a picture with a pencil.
notebook,ˈnoʊtbʊk,тетрадь/блокнот,2,Objects,I wrote in my notebook.
door,dɔːr,дверь,1,Furniture,He opened the door for me.
window,ˈwɪndoʊ,окно,2,Furniture,She looked out the window.
floor,flɔːr,пол,2,Furniture,The floor is clean.
ceiling,ˈsiːlɪŋ,потолок,2,Furniture,The ceiling is very high.
wall,wɔːl,стена,1,Furniture,The wall is painted blue.
bookstore,ˈbʊkˌstɔr,книжный магазин,2,Places,I bought a book from the bookstore.
library,ˈlaɪˌbrɛri,библиотека,2,Places,The library is open until 8 PM.
newspaper,ˈnjuːzˌpeɪpər,газета,2,Objects,She reads the newspaper every morning.
magazine,ˈmægəˌziːn,журнал,2,Objects,He bought a fashion magazine at the store.
bottle,ˈbɒtl,бутылка,1,Objects,She filled the bottle with water.
glass,ɡlæs,стакан/стекло,1,Objects,I need a glass of water.
fork,fɔːrk,вилка,1,Objects,He used a fork to eat his salad.
knife,naɪf,нож,2,Objects,Be careful with that sharp knife.
spoon,spuːn,ложка,1,Objects,I stirred the coffee with a spoon.
plate,pleɪt,тарелка,1,Objects,The plate was full of food.
cup,kʌp,чашка,1,Objects,She drank tea from a cup.
